item_id,order_id,sku,quantity,unit_price,line_total
IT-5215,ORD-2075,AB-1005,5,249.00,1245.00
IT-5101,ORD-2038,AB-1028,1,249.00,249.00
IT-5001,ORD-2001,AB-1030,3,799.00,2397.00
IT-5108,ORD-2040,AB-1016,4,349.00,1396.00
IT-5057,ORD-2022,AB-1008,4,599.00,2396.00
IT-5109,ORD-2040,AB-1015,4,599.00,2396.00
IT-5253,ORD-2088,AB-1013,3,1299.00,3897.00
IT-5097,ORD-2036,AB-1017,3,999.00,2997.00
IT-5006,ORD-2003,AB-1007,3,249.00,747.00
IT-5141,ORD-2051,AB-1010,4,249.00,996.00
IT-5139,ORD-2050,AB-1016,5,349.00,1745.00
IT-5084,ORD-2032,AB-1018,4,799.00,3196.00
IT-5209,ORD-2073,AB-1008,4,199.00,796.00
IT-5187,ORD-2066,AB-1001,2,349.00,698.00
IT-5220,ORD-2077,AB-1030,5,1299.00,6495.00
IT-5205,ORD-2072,AB-1023,1,999.00,999.00
IT-5221,ORD-2078,AB-1021,2,1299.00,2598.00
IT-5125,ORD-2045,AB-1013,2,799.00,1598.00
IT-5099,ORD-2036,AB-1021,4,199.00,796.00
IT-5020,ORD-2008,AB-1006,2,999.00,1998.00
IT-5027,ORD-2010,AB-1018,3,599.00,1797.00
IT-5192,ORD-2068,AB-1021,5,249.00,1245.00
IT-5222,ORD-2078,AB-1005,4,1299.00,5196.00
IT-5270,ORD-2094,AB-1028,1,599.00,599.00
IT-5156,ORD-2057,AB-1002,2,599.00,1198.00
IT-5224,ORD-2079,AB-1005,3,1299.00,3897.00
IT-5219,ORD-2077,AB-1005,2,1299.00,2598.00
IT-5138,ORD-2050,AB-1032,1,249.00,249.00
IT-5030,ORD-2011,AB-1014,4,599.00,2396.00
IT-5265,ORD-2092,AB-1021,1,799.00,799.00
IT-5243,ORD-2085,AB-1020,2,449.00,898.00
IT-5039,ORD-2014,AB-1031,1,249.00,249.00
IT-5055,ORD-2021,AB-1005,1,,349.00
IT-5010,ORD-2005,AB-1024,0,349.00,1396.00
IT-5267,ORD-2093,AB-1031,2,1299.00,2598.00
IT-5248,ORD-2087,AB-1010,2,349.00,698.00
IT-5022,ORD-2009,AB-1032,4,199.00,796.00
IT-5100,ORD-9999,AB-1016,3,449.00,1347.00
IT-5081,ORD-2031,AB-1027,4,1299.00,5196.00
IT-5282,ORD-2100,AB-1003,3,799.00,2397.00
IT-5009,ORD-2004,AB-1027,4,249.00,996.00
IT-5176,ORD-2062,AB-1028,1,799.00,799.00
IT-5121,ORD-2043,AB-1017,2,249.00,498.00
IT-5172,ORD-2061,AB-1027,1,799.00,799.00
IT-5170,ORD-2061,AB-1029,2,999.00,1998.00
IT-5090,ORD-2034,AB-1015,4,199.00,896.00
IT-5130,ORD-2047,AB-1006,4,199.00,796.00
IT-5029,ORD-2010,AB-1021,1,349.00,349.00
IT-5173,ORD-2061,AB-1028,3,599.00,1797.00
IT-5230,ORD-2081,AB-1007,3,249.00,747.00
IT-5005,ORD-2003,AB-1013,1,449.00,449.00
IT-5216,ORD-2075,AB-1013,3,799.00,2397.00
IT-5067,ORD-2025,AB-1022,4,1299.00,5196.00
IT-5115,ORD-2042,AB-1031,1,449.00,449.00
