order_id,customer_id,order_date,status,currency,total_amount
ORD-2084,47,2025-02-22,paid,CZK,4891.00
ORD-2098,13,2024-09-14,paid,CZK,697.00
ORD-2014,18,2024-09-15,paid,CZK,1844.00
ORD-2080,35,2025-03-09,cancelled,CZK,796.00
ORD-2075,27,2025-04-26,paid,CZK,4689.00
ORD-2034,33,2024-11-07,paid,CZK,11134.00
ORD-2042,28,2027-01-15,pending,CZK,7039.00
ORD-2049,15,2024-11-17,paid,CZK,6489.00
ORD-2030,1,2025-03-26,pending,CZK,349.00
ORD-2054,32,2025-02-01,completed,CZK,2047.00
ORD-2013,43,2025-03-01,cancelled,CZK,6589.00
ORD-2033,43,2024-11-21,cancelled,CZK,6792.00
ORD-2010,16,2024-06-11,paid,CZK,6492.00
ORD-2086,26,2024-02-01,pending,CZK,199.00
ORD-2069,18,2024-09-01,paid,CZK,13437.00
ORD-2031,24,2024-07-24,pending ,CZK,10285.00
ORD-2008,50,2025-01-01,PAID,CZK,6488.00
ORD-2094,48,2024-01-24,pending,CZK,2243.00
ORD-2036,36,2024-11-02,paid,,8089.00
ORD-2002,35,2024-06-05,paid,CZK,5194.00
ORD-2015,25,2024-04-24,Paid ,CZK,2598.00
ORD-2027,28,2024-11-21,pending,EUR,7039.00
ORD-2079,20,2024-12-30,completed,CZK,4843.00
ORD-2083,25,2024-02-03,paid,CZK,6391.00
ORD-2001,8,2024-01-14,paid,CZK,3642.00
ORD-2085,9,2025-04-27,pending,CZK,4191.00
ORD-2022,44,2025-02-17,pending,CZK,8289.00
ORD-2068,46,2024-03-24,paid,CZK,2542.00
ORD-2032,43,2024-03-16,paid,CZK,3196.00
ORD-2017,23,2024-06-14T09:22:31Z,paid,CZK,10191.00
ORD-2055,10,2024-09-10,cancelled,CZK,4042.00
ORD-2091,21,2025-04-14,paid,CZK,2791.00
ORD-2082,28,2024-10-10,completed,CZK,7485.00
ORD-2004,28,12.3.2024,paid,CZK,996.00
ORD-2099,16,2024-06-09,paid,CZK,3194.00
ORD-2065,41,2024-09-14,paid,CZK,2245.00
ORD-2088,9,2025-03-18,completed,CZK,12188.00
ORD-2003,38,2025-01-17,pending,CZK,4992.00
ORD-2089,4,2024-07-09,paid,CZK,7238.00
ORD-2023,2,2024-12-09,CANCELED,CZK,398.00
ORD-2045,31,2025-06-11,cancelled,CZK,
ORD-2011,27,03/28/2024,paid,CZK,2845.00
ORD-2058,30,2025-06-18,paid,CZK,-6684.00
ORD-2071,10,2024-05-25,paid,CZK,6741.00
ORD-2029,17,2024-07-17,paid,CZK,1444.00
ORD-2020,5,2024-10-16,paid,CZK,3541.00
ORD-2073,,2024-08-11,completed,CZK,8787.00
ORD-2077,49,2024-01-25,pending,CZK,9093.00
ORD-2063,11,2025-04-05,cancelled,CZK,7191.00
ORD-2096,50,2024-03-15,cancelled,CZK,796.00
ORD-2078,31,2025-01-28,paid,CZK,8391.00
ORD-2021,42,2024-12-29,pending,CZK,6287.00
ORD-2019,26,2024-07-20,paid,czk,5594.00
ORD-2087,6,2024-02-01,cancelled,CZK,6489.00
ORD-2012,48,2024-07-06,paid,CZK,"1944,00"
ORD-2053,46,2024-07-22,cancelled,CZK,3044.00
ORD-2039,40,2024-07-01,pending,CZK,4489.00
ORD-2060,30,2024-05-20,cancelled,CZK,8439.00
ORD-2062,28,2025-06-04,pending,CZK,2044.00
ORD-2028,8,2025-06-11,completed,CZK,2245.00
ORD-2047,33,2024-10-21,cancelled,CZK,4791.00
