sku,product_name,category,unit_price_czk,unit
AB-1027,Smart Bottle,Sports,1499.00,pcs
AB-1012,Classic Notebook,Sports,1499.00,pcs
AB-1013,Ultra Mug,Toys,449.00,pcs
AB-1004,Classic Mixer,Office,799.00,pcs
AB-1015,Max Router,Electronics,599.00,pcs
AB-1006,Mini Chair,Home & Kitchen,849.00,pcs
AB-1019,Smart Desk,Office,449.00,pcs
AB-1003,Smart Backpack,Toys,"1 299,00 Kč",pcs
AB-1006,Mini Chair,Home & Kitchen,199.00,pcs
AB-1014,Mini Fan,Office,-249.00,pcs
AB-1001,Pro Lamp,Home & Kitchen,349.00,pcs
AB-1029,Ultra Speaker,Office,1499.00,pcs
AB-1022,Mini Headphones,Sports,349.00,pcs
AB-1031,Max Charger,Home & Kitchen,249.00,pcs
AB-1030,Mini Mat,Electronics,599.00,pcs
AB-1002,Eco Headphones,Sports,599.00,pcs
AB-1026,Eco Chair, Sports,2490.00,pcs
AB-1016,Compact Scale,Home & Kitchen,349.00,pcs
AB_1012,Classic Notebook (2024),Sports,1499.00,pcs
AB-1028 ,Classic Keyboard,Toys,199.00,pcs
AB-1021,Ultra Lamp,Electronis,599.00,pcs
AB-1025,Pro Monitor,Electronics,599.00,pcs
AB-1011,Smart Charger,Home & Kitchen,CZK 599,pcs
AB-1023,Max Backpack,Toys,1299.00,pcs
AB-1032,Compact Notebook,Sports,349.00,pcs
AB-1020,Classic Kettle,Electronics,799.00,pcs
AB-1010,Eco Mat,Electronics,249.00,pcs
AB-1009,Pro Speaker,Office,2490.00,ks
AB-1005,Ultra Monitor,electronics,249.00,pcs
AB-1018,Eco Tripod,Toys,,pcs
ab-1024,Compact Mixer,Office,1499.00,pcs
AB-1007,Max Bottle,Sports,"449,90",pcs
AB-1008,Compact Keyboard,Toys,2490.00,pcs
AB-1017,Pro Clock,Sports,799.00,piece
